Title,Date,Location,Department,Views,Amount(INR)
PAID BRIBE FOR REGISTRATION OF PARTNERSHIP DEED,07-03-19,"NewDelhi,Delhi",Certificates,2110,8000
I have gone ther to know my PAN CARD Number and the officer there have asked me for Rs 700,07-03-19,"Asansol,WestBengal",PAN,2399,100
Great Vigor BV-1 Supercharger â RBinnovations.com,07-03-19,"Udhagamandalam,TamilNadu",Others,1127,2596
Powermatic III or 3 Cigarette Rolling Machine For Sale,07-03-19,"Oddanchatram,TamilNadu",Loans,1464,2869
Bijli chori,06-03-19,"Gaya,Bihar",Illegal Power Theft,4453,20000
Https://www.ar15handguard.com/ar-15-foregrip-bipod-combo,06-03-19,"NewDelhi,Delhi",Others,1860,2963
"Buy Best, Cheap & High Quality Hoverboards UK at Smartboardsuk.com",06-03-19,"Nellore,AndhraPradesh",Others,2507,2200
Police Officer Came For Passport Verification,05-03-19,"Bangalore,Karnataka",,1762,500
I paid bribe of 800rs to TTE officer,03-03-19,"Lucknow,UttarPradesh",Traveling without Ticket,4649,800
Https://supplementmegastore.net/,02-03-19,"Abhayapuri,Assam",Disability Certificate,4169,50
Processing of Leave Encashment after Retirement,02-03-19,"Nagaon,Assam",Pension Processing,1533,10000
Licence Extract,02-03-19,"Bangalore,Karnataka",Driving Licenses and Tests,4156,1500
Tips To Fit Nitrous Kit by RB Innovations,01-03-19,"NewDelhi,Delhi",Others,1868,2500
Speed Post By bank,01-03-19,"Dhanbad,Jharkhand",Post and Parcel,2708,100
Paid bribe for job,01-03-19,"Gulbarga,Karnataka",Railway Services,3132,200000
Https://installmentloanerx.org/mx-male/,28-02-19,"Abohar,Punjab",Excess Baggage,3712,250
Bribe to officer to renew post scheme agency,28-02-19,"Ahmedabad,Gujarat",Money Order,4154,200
I paid a bribe for passport verifaction,28-02-19,"Mahesana,Gujarat",Autorickshaws,3282,100
Paid to TTE from Agra to Delhi for allowing to travel in sleeper…,27-02-19,"Mathura,UttarPradesh",Others,3160,75
Police used to take bribe money from every taxi driver at airport,27-02-19,"NewDelhi,Delhi","Traffic Fines, Penalties, Rules",2069,300
BSA OFFICE HARDOI : what's doing local intelligence.all are sharing,26-02-19,"Hardoi,UttarPradesh",Employee Grievances,1340,23000
Powermatic 2+ Electric Cigarette Rolling Machine For Sale,26-02-19,"NewDelhi,Delhi",Others,1972,1500
Passport Police Verification,26-02-19,"Bangalore,Karnataka",Verification and Certificates,1655,200
Thunder Tiger EB-4 Supercharger at RBinnovations.com,26-02-19,"NewDelhi,Delhi",Others,2000,2500
"Food samples picked up fromto avoid testing and following procedures, collecting 20k through his PA",25-02-19,"Parvathipuram,AndhraPradesh",Policies and Procedures,919,20000
Not renewed the depot licence,25-02-19,"Raurkela,Orissa",Timber Related,1757,35000
Best & Inexpensive AR10 Buffer Tube Kit at AR15 Handguard,25-02-19,"NewDelhi,Delhi",Others,1905,1000
Hoverboards Segway/Swegway Repair Services UK,25-02-19,"Badepalle,Telangana",Services,1404,1200
Delhi MCD,24-02-19,"NewDelhi,Delhi",Land Regulation Scheme,3923,400000
For making anti currption India I want to expose him,23-02-19,"Jalor,Rajasthan",Verification and Certificates,1345,1000
Https://installmentloanerx.org/praltrix/,23-02-19,"Abhayapuri,Assam",Disability Related,3254,25
Traffic police took bribe forcing me,23-02-19,"Chennai,TamilNadu",Public Transport,2588,200
TRANS 1 APPROVAL,22-02-19,"Bangalore,Karnataka",Service Tax,1995,150000
Threatened by entire office for fighting against payment of bribe,21-02-19,"Bangalore,Karnataka",License for Sale of Drugs,3630,3000
Best and Inexpensive AR15 Laser and AR15 Light,20-02-19,"Badepalle,Telangana",Others,1446,1200
Corruption in GST Refunds,20-02-19,"Kalyan,Maharashtra",Sales Tax,3368,30000
Curruption in ujjwala yojna.,19-02-19,"Mal,WestBengal",Others,1288,5000
Buy 1/5th Scale Supercharger for G320 RC Engine HPI Only,19-02-19,"Calicut,Kerala",Others,2247,1000
Https://supplementmegastore.net/,18-02-19,"Abhayapuri,Assam",Disability Related,3415,250
For job in JNPT,18-02-19,"NaviMumbai,Maharashtra",Customs Check and Clearance,5773,1200000
Automatic Powermatic 3 or III Cigarette Machine For Sale,18-02-19,"Bangalore,Karnataka",Others,1828,1000
Basic Shiksha Adhikari office hardoi,18-02-19,"Hardoi,UttarPradesh",Certificates,1582,15000
Buy 6.5â Inch Classic Hoverboard Swegway UK,18-02-19,"Bangalore,Karnataka",Others,2590,1000
Demanding for bribe.,18-02-19,"NewDelhi,Delhi",Ticket and Seat Related,1958,200
International Driving License,17-02-19,"Panaji,Goa","Traffic Fines, Penalties, Rules",2006,550
Fine drunk while driving bike,17-02-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1835,5000
Corruption is our country just like blood circulate our body,16-02-19,"Hardoi,UttarPradesh",Employee Grievances,1391,25000
Bribe asked by Kolkata Police Officer,15-02-19,"Kolkata,WestBengal",Autorickshaws,3691,6000
Paid the bribe to get a room to stay overnight.,15-02-19,"Tirupati,AndhraPradesh",Religious Institutions,2140,2000
Paid 8500 for Apartment Registration,15-02-19,"Bangalore,Karnataka",Property Registration,1652,8500
Ugly Face of Kolkata Traffic Police,14-02-19,"Kolkata,WestBengal",Registrations and Licenses,2969,200
Lower Slide Assembly for Revolution Tobacco Cigarette Machine,14-02-19,"NewDelhi,Delhi",Others,1832,1289
Losi 5ive Upgrade Parts at RBinnovations.com,14-02-19,"NewDelhi,Delhi",Others,1840,1200
Payed for banking works,13-02-19,"Abohar,Punjab",Loan Sanctioning,3757,12000
I told staff to serve my notice from past 1.5 years they cant serve my notice i gave them 1200 to se,13-02-19,"Kalyan,Maharashtra",Services,2064,1200
Ti tax inspectior mahesh in jeevanahalli asked bride7000,13-02-19,"Bangalore,Karnataka",Certificates,1709,7000
AR15 LPK & Lower Part Kit at AR15handguard.com,12-02-19,"NewDelhi,Delhi",Others,1791,1000
Hoverboard 6.5 Inch White Replacement Case Shell With Arch Bump Strips,12-02-19,"NewDelhi,Delhi",Others,1741,100
Bribe for no reason,11-02-19,"Chennai,TamilNadu",Driving Licenses and Tests,2532,1200
DRINK AND DRIVE,10-02-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1922,1259
Taken bribe,08-02-19,"Durgapur,WestBengal",Vehicle Fitness,2165,500
Asked to pay a bribe,08-02-19,"Mumbai,Maharashtra",Business Visa,3573,100000
Officials openly asking for bribe to do my work,08-02-19,"Noida,UttarPradesh",Building and Housing,3212,35000
Asking bribe for vehicle release,08-02-19,"Bangalore,Karnataka",Policies and Procedures,1594,10000
Asked for bribe at the time  transfer of the house,07-02-19,"Noida,UttarPradesh",Building and Housing,3516,350000
Paid bribe for no bike insurance,07-02-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1737,300
Buying police clearance,07-02-19,"Bangalore,Karnataka",Police Clearance Certificate,4561,2000
Madurai Kamaraj university is a shop selling degrees,06-02-19,"Madurai,TamilNadu",School or College Related,2611,200000
Complain against gang forging documents to illegally acquire land,06-02-19,"Jehanabad,Bihar",FIR and Complaints,1047,20000
Hypothetication cancellation,06-02-19,"Chennai,TamilNadu",Services,2864,75
Shweta Agarwal - Debanjan Ghosh bribe Scandal,06-02-19,"Siliguri,WestBengal",Court Related,2738,500000
CY Carburetor Gasket for RC Engines â RB Innovations,06-02-19,"Ahwa,Gujarat",Others,1521,100
Driving in a no- entry road,05-02-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1904,200
AR or AR15 Buffer Tube at https://www.ar15handguard.com/ar-buffer-tube-stock,04-02-19,"NewDelhi,Delhi",Others,1735,1200
Buy Solar Cigarette Lighter & Cigarette Pocket Case,04-02-19,"NewDelhi,Delhi",Others,1781,100
Disco Led 6.5â³ Classic Hoverboard Swegway in Galaxy Design,04-02-19,"NewDelhi,Delhi",Others,2710,1000
Nitrous Injection Kits & Systems at RBinnovations.com,04-02-19,"NewDelhi,Delhi",Others,1593,1200
Bribe for passing students in  practical intermediate examination,03-02-19,"Vijayawada,AndhraPradesh",School or College Related,2309,1000
Asking bribe I saw taking bribe form another,02-02-19,"Mumbai,Maharashtra","Traffic Fines, Penalties, Rules",2848,200
Had paid Bribe to VRO for land passbook registration,01-02-19,"Chittoor,AndhraPradesh",Land Registration,2538,3500
"Paid bribe 7000 to custom dept. APSO , indian post vile parle mumbai",01-02-19,"Mumbai,Maharashtra",Customs Check and Clearance,5074,7000
Bribe in check post to pass through in highway,31-01-19,"Pollachi,TamilNadu",Protected Forest and Sanctuaries,2319,100
"AR15 LPK & AR15 Lower Part Kit in Pomona, CA",31-01-19,"NewDelhi,Delhi",Others,2536,10
For Pasport verification they asked me and threthen me to cancel my passport Id,30-01-19,"Kolkata,WestBengal",Verification and Certificates,2896,1000
Tamiya TNX & Terra Crusher For Sale â RB Innovations,30-01-19,"NewDelhi,Delhi",Others,1901,1000
Buy Bluefinâ¢ Hovershoes (Black) UK Online at Smartboardsuk.com,30-01-19,"NewDelhi,Delhi",Others,1872,1000
Enterslice | Company Registration | LLP Registration | Trademark Registration,30-01-19,"Noida,UttarPradesh",Others,3406,4999
Powermatic 3 (III) Cigarette Rolling Machine For Sale,29-01-19,"NewDelhi,Delhi",Others,4391,1890
AR15 Buffer Tube & AR15 Pistol Buffer Tube,29-01-19,"NewDelhi,Delhi",Others,1649,1200
AR10 Mlok Handguard and AR10 Lower Part Kit,29-01-19,"NewDelhi,Delhi",Others,1577,1000
AR15 Gas Tube and AR15 Gas Block,29-01-19,"NewDelhi,Delhi",Others,1394,2000
AR15 Mlok Handguard & AR15 Keymod Handguard,29-01-19,"NewDelhi,Delhi",Others,2278,1000
AR15 Upper Build and AR15 BCG at AR15 Handguard,29-01-19,"NewDelhi,Delhi",Others,1304,2000
AR15 Bird Cage Muzzle Brake & AR15 Muzzle Brake,29-01-19,"NewDelhi,Delhi",Others,1273,2899
"AR15 LPK, Forward Assist, Upper Receiver, Dust Cover, Carry Handle & Lower Part Kit",29-01-19,"NewDelhi,Delhi",Others,1244,1500
Buy 1/5 Scale Crawler Online â RB Innovations,29-01-19,"NewDelhi,Delhi",Others,1428,1500
Best RC Nitro Engines For Sale â RB Innovations,29-01-19,"NewDelhi,Delhi",Others,1413,2000
Addl SP office (DIB office) employees take bribe,28-01-19,"Jalpaiguri,WestBengal",Background or Personal Verification,3243,5000
Driving with foreign license,27-01-19,"Panaji,Goa","Traffic Fines, Penalties, Rules",1984,4000
Traffic Police in Chennai is corrupted !,26-01-19,"Chennai,TamilNadu","Traffic Fines, Penalties, Rules",2484,500
Food inspector,25-01-19,"Lucknow,UttarPradesh",Food and Supply,3669,20000
Wrong way driving 100 mtrs,24-01-19,"Pune,Maharashtra",Entry Tax,3716,1500
GST State CTO is asking 5 % of refund amount as bribe,23-01-19,"Hyderabad,Telangana",Commercial Tax,3295,375000
Traffic police man threatened me to suspend my Driving License,22-01-19,"Pune,Maharashtra",Autorickshaws,3494,100
Bribe for free smart licensed card,22-01-19,"Chengalpattu,TamilNadu",Entry Tax,3595,200
Bribe for using headset while driving bike.,22-01-19,"Chennai,TamilNadu","Traffic Fines, Penalties, Rules",2446,200
Aadhar phone number update,22-01-19,"Gandhinagar,Gujarat",,2340,500
"SI Raghu Babu - Kushaiguda, Rachakonda Division, for taking station bail in the year 2013",22-01-19,"Hyderabad,Telangana",FIR and Complaints,3040,2500
Tobacco Tubing Machine at Hard Working Products,21-01-19,"NewDelhi,Delhi",Others,1696,200
Fresh Choice Cigarette Rolling Machine Parts,21-01-19,"Banda,UttarPradesh",Others,1939,2000
Buy Hoverboard & Swegway Accessories Online UK,21-01-19,"Badharghat,Tripura",Others,1638,2899
"RB Innovations's 1/5 Scale RC Parts in Minoa, NY",21-01-19,"NewDelhi,Delhi",Others,2367,200
"Cyclone Air Filters in Minoa, NY â RB Innovations",21-01-19,"NewDelhi,Delhi",Others,1694,2000
Police shaking down travellers for money as passage fee,20-01-19,"Gudalur,TamilNadu","Traffic Fines, Penalties, Rules",807,1000
Towed away vehicle,19-01-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1825,500
Indrapuram to NH24 crossing red light police people taking briebe by exploting incorrect charges,17-01-19,"Ghaziabad,UttarPradesh","Traffic Fines, Penalties, Rules",3440,200
Help for Learners licence test,17-01-19,"Udupi,Karnataka",Learners License,3707,200
Powermatic 3 or III Cigarette Machine For Sale,16-01-19,"NewDelhi,Delhi",Others,1800,2000
Electric Cigarette Machine/Maker & Tobacco Rolling Machine,16-01-19,"NewDelhi,Delhi",Others,1725,2000
Best & Inexpensive AR15 Handguard at AR15handguard.com,16-01-19,"NewDelhi,Delhi",Others,1635,1200
Https://www.smartboardsuk.com/collections/hoverkarts,16-01-19,"NewDelhi,Delhi",Others,1543,2000
Nitrous Oxide Kits For Sale â RB Innovations,16-01-19,"NewDelhi,Delhi",Others,1548,2000
Wheelie Bar Wheels & Wheelie Bar Parts,16-01-19,"NewDelhi,Delhi",Others,1585,2000
Best Quality Hoverboards Swegway For Sale UK,15-01-19,"NewDelhi,Delhi",Others,1512,1500
Buy Hoverboards UK at Smartboardsuk.com,15-01-19,"NewDelhi,Delhi",Others,2376,1500
In sendwa boder asking for entry of vechiel,15-01-19,"Indore,MadhyaPradesh",Driving and Transport Business,3029,1400
Bribe for job,13-01-19,"Firozpur,Punjab",Others,1046,200000
Police ask a passport verification fee,12-01-19,"Firozpur,Punjab",Verification and Certificates,1170,200
THE B REGISTRAR OFFICE PUNE,12-01-19,"Pune,Maharashtra",Government Personnel,3005,1400
Bribe against Raising SALARY,12-01-19,"Kanpur,UttarPradesh",Employee Grievances,3285,7500
Talent Vs Bribe,11-01-19,"Gurgaon,Haryana",Policies and Procedures,4691,1200000
"Had to pay bribe, else my license would be sent to my Home town RTO",11-01-19,"Pune,Maharashtra","Traffic Fines, Penalties, Rules",4422,500
Had to pay bribe to expedite the birth certificate process,11-01-19,"Pune,Maharashtra","Births, Family and Care",4098,200
Govt Job on sales,11-01-19,"Gurgaon,Haryana",FIR and Complaints,9937,1200000
Govt Job on sales,11-01-19,"Gurgaon,Haryana",Filing FIR,6209,120000
I am disturbed that despite being educated and an aspiring civil servant aspirant I bribed,10-01-19,"Gurgaon,Haryana",Building and Housing,6111,12000
Bribe to get Khata for my home,09-01-19,"Bangalore,Karnataka",Certificates,5561,7200
Https://supplementsangles.com/spartan-keto/,07-01-19,"Adityapur,Jharkhand",Business Visa,6841,2
Excess paid for RC of vehicle,07-01-19,"Nawanshahr,Punjab",Number Plates and Vehicle Registration,4655,200
Custom duty paid but no receipt = I paid Bribe,05-01-19,"Hyderabad,Telangana",Customs Check and Clearance,5757,7500
Https://www.supplementexamine.com/ketozin/,05-01-19,"Abohar,Punjab",Customs,4855,50
For paying pt,04-01-19,"Bangalore,Karnataka",Professional Tax,4114,2000
Https://www.supplementtrade.com/keto-blast/,04-01-19,"Achhnera,UttarPradesh",Customs Check and Clearance,4722,900
Https://www.futuresupplement.com/power-testo-blast/,04-01-19,"Adityapur,Jharkhand",Loan Sanctioning,6078,589
Police and traffic police together scamming people,03-01-19,"Panaji,Goa",FIR and Complaints,4547,500
Paid a Bribe for Police Verification.,03-01-19,"Nagpur,Maharashtra",Policies and Procedures,5208,500
Bride of 1400 per person asked for missing Station,03-01-19,"Khordha,Orissa","Fines, Penalties and Rules",3635,500
Tricked into paying a bribe,01-01-19,"Bangalore,Karnataka",Customs,3294,5000
Https://www.futuresupplement.com/body-fit-keto/,31-12-18,"Adari,UttarPradesh",College Leaving Certificate,4667,89
I feel guilty for paying the bribe though i was forced to pay,31-12-18,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",3181,300
Paid 1800 plus additional 1000,31-12-18,"Chennai,TamilNadu",Vehicle Fitness,3915,2800
Legal bribe out of sheer harassment by traffic police,30-12-18,"Mumbai,Maharashtra","Traffic Fines, Penalties, Rules",4123,200
Paid 200 but traffic police gave be bill of only 100,30-12-18,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",2347,200
Police inspector asked me for bribe,27-12-18,"Ahmedabad,Gujarat","Traffic Fines, Penalties, Rules",4518,50
Https://www.futuresupplement.com/body-fit-keto/,27-12-18,"Abohar,Punjab",Loan Sanctioning,4305,900
Demand for pay charge,27-12-18,"Chittoor,AndhraPradesh",Electric Meters,2788,50
Customs new delhi extortion racket,27-12-18,"NewDelhi,Delhi",Customs,2390,500000
Police bribe at Tiruppur,25-12-18,"Tiruppur,TamilNadu","Traffic Fines, Penalties, Rules",3432,1700
Charged 300 rs of amount and gave a chalan of 100rs,25-12-18,"NewDelhi,Delhi",,1927,300
Https://www.supplementmegamart.com/urogenx-male-enhancement/,24-12-18,"Achhnera,UttarPradesh",Customs,3760,900
The inspector told this is only the rate if you want  the proceedings to go on,23-12-18,"Kanpur,UttarPradesh",Policies and Procedures,3769,1500
Bribe taken by railway policemen,22-12-18,"Agra,UttarPradesh",Ticket and Seat Related,3499,500
Verification at Nerul Police station,22-12-18,"NaviMumbai,Maharashtra",Verification and Certificates,4461,1000
Bribe at CBD Belapur Police HQ,22-12-18,"NaviMumbai,Maharashtra",Issue and Renewal of Passport,4338,4000
Police harassment,20-12-18,"Mumbai,Maharashtra","Traffic Fines, Penalties, Rules",3246,20000
Police harassment,20-12-18,"Mumbai,Maharashtra",Police Harassment,4052,20000
My passport was used as ransom,19-12-18,"Ahmedabad,Gujarat",,3929,7000
Was forced to give bribe for issuing birth certificate,19-12-18,"Bangalore,Karnataka",Health and Family,2208,700
Police Worst People!,18-12-18,"Mysore,Karnataka","Traffic Fines, Penalties, Rules",4462,200
Marriage Officer charging extra for Marriage Certificate,17-12-18,"Pune,Maharashtra",Certificates,3208,350
Peon Yedukondalu demanded bribe - University of Madras,16-12-18,"Chennai,TamilNadu",College Leaving Certificate,3610,5000
